participant_id,participant_name
B01718,WILLIAMS SECURITIES LTD
B00684,TAK ON SECURITIES CO
B01527,NITTAN SECURITIES ASIA LTD
B02185,KOREA INVESTMENT & SECURITIES ASIA LTD
B01910,FTFT INTERNATIONAL SECURITIES AND
B01748,COL SECURITIES (HK) LTD
B01358,TANRICH SECURITIES CO
B80046,Y. C. FUNG & CO
B01792,HONG KONG WAN KIU INVESTMENT CO LTD
B01545,TUNG SHING SECURITIES (BROKERS) LTD
P00006,SUN TAI CHEUNG CREDITS LTD
B01722,CTW SECURITIES LTD
B00508,HING SHING INVESTMENTS CO
B02003,DONGXING SECURITIES (HONG KONG) CO LTD
B00147,NORMAN & CO
B00679,DOVER CO
B01853,CMBC SECURITIES CO LTD
B02134,HOPE SECURITIES LTD
B01880,NORTH BETA INTERNATIONAL SECURITIES LTD
B01940,SOFI SECURITIES (HONG KONG) LTD
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
B01867,STARLING GROUP SECURITIES LTD
B01821,GETTA SECURITIES LTD
B01206,SELINA & CO
B01232,CHIEF INVESTMENT CO
B01084,S.G. WARBURG SECURITIES ASIA LTD
B01758,CHINA RESERVE SECURITIES LTD
B01899,SFGHK LTD
B01000,GOLDEN DRAGON SECURITIES CO
C00015,DBS BANK (HONG KONG) LTD
B00181,SIU ON STOCK INVESTMENT CO
B02132,BOOM SECURITIES (H.K.) LTD
B01438,KINGSTON SECURITIES LTD
B01778,UNITED WORLD ONLINE LTD
B00470,KAN FUNG INVESTMENT CO
B01869,SYNERWEALTH FINANCIAL LTD
B01618,MAN WO INVESTMENT CO LTD
C00064,BNP PARIBAS
B01345,PHILLIP SECURITIES (HONG KONG) LTD
B01442,CENTURY CITY SECURITIES LTD
B01654,CHINA INTERNATIONAL CAPITAL CORPORATION
B01803,RICH BAY SECURITIES LTD
B01169,PUBLIC FINANCIAL SECURITIES LTD
B01769,ONE CHINA SECURITIES LTD
B01317,C.A. PACIFIC SECURITIES LTD
B00862,HUNG'S CO
B01267,WINFULL SECURITIES LTD
B01228,CITIC SECURITIES BROKERAGE (HK) LTD
B00904,TAI HANG INVESTMENT CO
B00392,KAM LUEN CO
B02179,YAW KAI FINANCIAL GROUP LTD
B00833,RESIDENTS SECURITIES CO
B01405,ETRADE SECURITIES LTD
B01609,WILBY SECURITIES LTD
B01194,GOOD HARVEST & CO
B01369,MAXGAIN INVESTMENT LTD
B02144,YEW TREE LTD
B01725,GT CAPITAL LTD
B01522,CHUANGS & CO LTD
B01775,CREDIT AGRICOLE SECURITIES (ASIA) LTD
B01415,TARZAN STOCK & SHARES LTD
B02067,LIGHTHOUSE CAPITAL (HK) FINANCIAL LTD
B01508,SOUTHWEST SECURITIES (HK) BROKERAGE LTD
B01593,DAI-ICHI SECURITIES PACIFIC LTD
B01114,YUANTA BROKERAGE CO LTD
B01573,TIM PO SECURITIES CO LTD
B02167,SDG SECURITIES (HK) LTD
B01507,CHENG YAM ON SECURITIES LTD
B01696,HANTEC SECURITIES CO LTD
B01203,HOP LEE STOCK CO
B01680,SUCCESS SECURITIES LTD
B01623,TAI FUNG KUENTAI SECURITIES CO LTD
B01612,CU SECURITIES LTD
B00362,C. K. SECURITIES CO
B01809,CHINA SYSTEM SECURITIES LTD
B02190,LUMINEUX SECURITIES LTD
B02047,EDDID SECURITIES AND FUTURES LTD
B02105,VMI SECURITIES LTD
B01614,CHINA HONG KONG CAPITAL ASSET MANAGEMENT
B01907,CHINA DEMETER SECURITIES LTD
B01766,MUSHK LTD
C00103,"MIZUHO BANK, LTD."
B01806,CHINA GATHER WEALTH FINANCIAL CO LTD
B01103,SASSOON SECURITIES LTD
B00272,EVERGREEN SECURITIES CO
B01673,FULBRIGHT SECURITIES LTD
B00937,LUEN ON SECURITIES CO
C00024,KINCHENG BANKING CORPORATION
B00602,GOLDEN HARVEST STOCK INVESTMENT CO
B01762,DBS VICKERS (HONG KONG) LTD
B01424,INTERCHINA SECURITIES LTD
B00397,YAU CHEONG & CO
B01198,PO KAY SECURITIES & SHARES CO LTD
B80048,TAI TAK SECURITIES CO
B01962,CHINA SECURITIES (INTERNATIONAL)
C00009,THE CHINA STATE BANK LTD
A90003,CHINA SECURITIES DEPOSITORY AND CLEARING
B01789,HO FUNG SHARES INVESTMENT LTD
B01404,HONG KONG STOCK LINK SECURITIES LTD
B02000,TIAN YUAN FINANCE LTD
B00322,YING WAH SECURITIES CO
C00100,"JPMORGAN CHASE BANK, NATIONAL"
B02079,WONDER FACE FUND MANAGEMENT CO LTD
B01299,BNP PARIBAS SECURITIES (ASIA) LTD
B01694,MINERVA HOLDING FINANCIAL SECURITIES LTD
B01543,KWONG FAT HONG (SECURITIES) LTD
B01805,SALISBURY SECURITIES LTD
B00598,KATHERINE IP & CO
B01985,CHINA BEST INTERNATIONAL SECURITIES
B00566,NEW UNION SECURITIES CO
B01104,SMITH NEW COURT FAR EAST LTD
B01161,UBS SECURITIES HONG KONG LTD
B80017,CHONG & PARTNERS
B01997,SUNCORP SECURITIES LTD
B00112,MAN LUNG CO
B00054,CHU CHUNG TIN
B01761,KO'S BROTHER SECURITIES CO LTD
B01827,IBTS ASIA (HK) LTD
B01129,WOCOM SECURITIES LTD
B00403,GOLD FUND SECURITIES CO
B02097,POLY WEALTH SECURITIES LTD
B01583,RESIDENTS SECURITIES LTD
B00180,LEE SIN CHAI & CO
B00198,WADER INVESTMENT CO
B02211,UP WAY SECURITIES LTD
B02066,AP CAPITAL MANAGEMENT (HONG KONG) LTD
B01380,HING LEE SECURITIES CO
B01138,CLSA LTD
B01838,SHENYIN WANGUO ONLINE BROKER (H.K.) LTD
B01788,SUNRISE SECURITIES LTD
B01256,SINOLINK SECURITIES (HONG KONG) CO LTD
B01546,WO FUNG SECURITIES CO LTD
B01294,CS WEALTH SECURITIES LTD
B01099,KGI SEAPOWER SECURITIES LTD
B01756,CHINA SKY SECURITIES LTD
B01277,BRADBURY SECURITIES LTD
B02092,I WIN SECURITIES LTD
B02199,LU INTERNATIONAL (HONG KONG) LTD
C00082,SCHRODER INVESTMENT MANAGEMENT
B01736,TIFFIT SECURITIES (HONG KONG) LTD
C00020,HUA CHIAO COMMERCIAL BANK LTD
B01702,BLACK MARBLE SECURITIES LTD
B01965,HK NOBLE SKY TREASURE SECURITIES LTD
B01708,ROSA SECURITIES LTD
B00310,HEAD & SHOULDERS CO
B01271,HANG TAI SECURITIES LTD
B01753,FORTUNE (HK) SECURITIES LTD
B01500,D.J. SECURITIES LTD
B01233,FOOK TIN SECURITIES (1987) LTD
B01324,FUNDERSTONE SECURITIES LTD
B01494,AUDREY CHOW SECURITIES LTD
B01448,SOEN TAK SECURITIES CO LTD
B01575,MASTER TRADEMORE SECURITIES LTD
B02036,DAKIN SECURITIES LTD
B02073,SOLOMON JFZ (ASIA) HOLDINGS LTD
B02112,CORE CAPITAL SECURITIES LTD
B01200,GREAT HONEST INVESTMENT CO LTD
B01574,WADER SECURITIES CO LTD
B01549,PROSPEROUS SECURITIES LTD
B01544,IPO SECURITIES LTD
B01196,Y. C. FUNG & CO
B01820,CMB INTERNATIONAL CAPITAL CORPORATION
B01823,ANGLO CHINESE SECURITIES LTD
B02009,GOLDEN RICH SECURITIES LTD
C00109,"BANK OF COMMUNICATIONS CO., LTD."
B01469,KAISER SECURITIES LTD
B01818,I-ACCESS INVESTORS LTD
B01577,YF SECURITIES CO LTD
B02007,CHINA-HONG KONG LINK SECURITIES CO LTD
B02218,BOSC INTERNATIONAL SECURITIES LTD
B00275,CHENG YAM ON & CO
B01069,KAN FUNG SECURITIES CO
B01509,UNICORN SECURITIES CO LTD
B01495,CORE PACIFIC SECURITIES INTERNATIONAL
B01941,CENTALINE SECURITIES LTD
B01510,ORIENTAL PATRON SECURITIES LTD
B02043,LERTHAI SECURITIES (HONG KONG) LTD
B02038,WEST BULL SECURITIES LTD
C00062,CREDIT AGRICOLE CORPORATE AND INVESTMENT
B01570,GOLDENWAY SECURITIES CO LTD
B01594,HOENIG (FAR EAST) LTD
B01564,ABCI SECURITIES CO LTD
B00089,HWA LAM CO
B01914,JEFFERIES HONG KONG LTD
B01958,TOPAZ FINANCIAL GROUP LTD
B01367,EVERLIGHT SHARES CO
B01681,BOCOM INTERNATIONAL HOLDINGS CO LTD
B01388,MANSON HONG KONG LTD
B01934,SELECT INVESTMENT SERVICES LTD
B01476,GOLD TRIUMPH INVESTMENT LTD
B00665,KING WAI CO
B01146,GOLDENWAY SECURITIES CO
B01919,TIGER SECURITIES ASSET MANAGEMENT CO LTD
C00108,"CHINA MINSHENG BANKING CORP., LTD."
C00059,IBJ ASIA LTD
B01496,LIBRA ASIA SECURITIES LTD
B01799,THE BRIGHT SECURITIES LTD
B01641,FULL WIN SECURITIES LTD
B01913,CHINAWIDE SECURITIES LTD
B01633,ENLIGHTEN SECURITIES LTD
B01839,RABO BROKERAGE HK LTD
B02165,YUEN META (INTERNATIONAL) SECURITIES LTD
B02184,DINGXIN (SECURITIES) LTD
B02192,HUAFU INTERNATIONAL SECURITIES LTD
B01471,GREAT BAY SECURITIES LTD
B00752,LEGARLEON SECURITIES
B02197,YUNRUI SECURITIES LTD
B01883,CHINA RISE SECURITIES ASSET MANAGEMENT
B01498,YAN YAN INVESTMENT LTD
B00794,SHUI CHEUNG CO
C00095,EFG BANK AG
A00005,CHINA SECURITIES DEPOSITORY AND CLEARING
B01743,CEPA ALLIANCE SECURITIES LTD
B01480,KEPPEL SECURITIES HONG KONG LTD
B01373,CHRISTFUND SECURITIES LTD
B02031,GOLDLINK SECURITIES LTD
B00382,FORTUNATE & CO
B01491,CREDIT SUISSE SECURITIES (HONG KONG) LTD
B01356,DELTA ASIA SECURITIES LTD
B01969,CHINA VERED SECURITIES LTD
B00164,KO'S BROTHER (SECURITIES) CO
B02098,SP GLOBAL ACCESS LTD
B01724,RAMON INVESTMENT CO LTD
B01986,HUAJIN SECURITIES (INTERNATIONAL) LTD
B01273,WHOLE WIN SECURITIES CO
B00289,GENERAL STOCKS CO
B01443,YING WAH SECURITIES CO LTD
B01876,WATERLAND SECURITIES (HK) CO LTD
B02016,GOLDHORSE SECURITIES LTD
B02081,FIRST FIDELITY CAPITAL (INTERNATIONAL)
B01979,FORMAX SECURITIES LTD
B02215,JIN YI FINANCIAL GROUP LTD
B01568,SHUN LOONG SECURITIES CO LTD
B01439,TAI TAK SECURITIES (ASIA) LTD
B02055,SUNFUND SECURITIES LTD
B00813,VICTORY ENTERPRISES CO
B02039,ZHONG JIA SECURITIES LTD
B01068,TEIL STOCK INVESTMENT CO (ADMINISTRATORS
B01862,ORIENTAL WEALTH SECURITIES LTD
B01959,ZHONGTAI INTERNATIONAL SECURITIES LTD
B01210,KONGSON SECURITIES LTD
B01436,MANBLE SECURITIES LTD
B00001,CONCORD SECURITIES CO
B01108,HONOUR SECURITIES CO LTD
B01506,BEAR STEARNS ASIA LTD
B01648,STELLAR SECURITIES LTD
B01897,CENTRAL WEALTH SECURITIES INVESTMENT LTD
B00846,KEE CHEONG SECURITIES CO
B00225,MAN YING & CO
C00057,UNITED OVERSEAS BANK LTD
C00012,DAH SING BANK LTD
B02142,TIGER BROKERS (HK) GLOBAL LTD
B01850,HAI TONG SECURITIES (HK) BROKERAGE LTD
B01182,LUEN CHEUNG SHARES INVESTMENT CO
B01683,DBS TD WATERHOUSE SECURITIES (HONG KONG)
B01798,WINNING SECURITIES CO LTD
B01397,BALI SECURITIES CO LTD
B01851,RICHE BRIGHT SECURITIES LTD
B01927,KINGKEY SECURITIES GROUP LTD
B00233,UNICORN SECURITIES & CO
B01007,BULLISH SECURITIES
B02012,BOSC INTERNATIONAL CO LTD
B00250,TRIPLE A & CO
B01875,GUODU SECURITIES (HONG KONG) LTD
B01282,CHELSEA SECURITIES LTD
B01116,HONG KONG WAN KIU INVESTMENT CO
B01942,SINO WEALTH SECURITIES LTD
B01667,WIN SUCCESSFUL SECURITIES LTD
B01874,BTIG HONG KONG LTD
B02045,AAA SECURITIES CO. LTD
A00006,CHINA SECURITIES DEPOSITORY AND CLEARING
B01963,TFI SECURITIES AND FUTURES LTD
B01280,WING FAT SECURITIES LTD
B01590,INTERACTIVE BROKERS HONG KONG LTD
B01841,LA (GLOBAL) SINOMIX SECURITIES LTD
B01582,THING ON SECURITIES LTD
B01592,PLATINUM BROKING CO LTD
B00318,HOP YICK STOCK CO
B01342,WAH THAI SECURITIES LTD
B01402,PHOENIX CAPITAL SECURITIES LTD
B01863,WESTOCK SECURITIES INTERNATIONAL (HK)
B00795,EATON SECURITIES
B01589,OUB SECURITIES (H.K.) LTD
B01664,ROOFER SECURITIES LTD
A90004,CHINA SECURITIES DEPOSITORY AND CLEARING
B02001,CHINA PROSPECT SECURITIES LTD
B01920,TIANDA SECURITIES LTD
B02156,LINKWAYS INVESTMENT MANAGEMENT LTD
B01514,KARL-THOMSON SECURITIES CO LTD
B02161,EMPERIO SECURITIES AND ASSETS MANAGEMENT
P00011,INTERNATIONALE NEDERLANDEN BANK N. V.
B01087,TAI PO SECURITIES CO
B01212,HENYEP SECURITIES LTD
B01704,JVSAKK ASIA LTD
B02138,TIGER FAITH SECURITIES LTD
B02078,AFFLUX SECURITIES LTD
B00988,LAWSONS SECURITIES CO
B80016,TAT MING HONG
B02071,CHINA-HONG KONG CONNECT INTERNATIONAL
B02183,SPDB INTERNATIONAL SECURITIES LTD
B01814,WELL LINK SECURITIES LTD
B01706,MAN HON YEUNG SECURITIES LTD
B01646,TAI NING STOCK CO LTD
B02103,CEB INTERNATIONAL CAPITAL CORPORATION
B01964,HALCYON SECURITIES LTD
B02118,PO TAI SECURITIES (HONG KONG) LTD
B01610,KGI ASIA LTD
B01745,GUOCHUANG SECURITIES FINANCIAL HOLDING
C00029,THE NATIONAL COMMERCIAL BANK LTD
B01541,BRILLIANT SECURITIES LTD
B01304,ANGLO CHINESE SECURITIES LTD
B02063,BLACKWELL GLOBAL SECURITIES LTD
B01468,BRIGHT SMART SECURITIES CO LTD
B02048,CHINA TRANSFER CAPITAL INVESTMENT LTD
B01423,PRUDENTIAL BROKERAGE LTD
B01751,IMAGI BROKERAGE LTD
B01615,KAM FAI SECURITIES CO LTD
B01485,WING YIP CO LTD (IN LIQUIDATION)
B01265,OCBC SECURITIES BROKERAGE (HK) LTD
B01999,CF SECURITIES LTD
B01550,HUAYU SECURITIES LTD
B01689,EUREKA SECURITIES LTD
B00173,YING HO STOCK INVESTMENT CO
B01266,PRIME CDEX SECURITIES LTD
B01248,KWAN YICK SECURITIES (INTERNATIONAL) LTD
B00457,CHEUNG ON & CO
B02153,WE SECURITIES LTD
C00069,UNITED CHINESE BANK LTD
B02126,PFC INTERNATIONAL CO LTD
B00610,WANG LEE CO (ADMINISTRATOR APPOINTED)
B02025,ASIA WEALTH SECURITIES LTD
B02060,LEGO SECURITIES LTD
B01928,ENHANCED SECURITIES LTD
B01187,YARDLEY SECURITIES CO
B01318,OKASAN INTERNATIONAL (ASIA) LTD
B01759,WINLAND WEALTH MANAGEMENT LTD
B01381,ALLIED PROFIT SECURITIES CO
C00073,YASUDA TRUST ASIA PACIFIC LTD
C00055,KBC BANK N.V.
B02121,SPRING SECURITIES LTD
B01832,MIZUHO SECURITIES ASIA LTD
B01744,YICK FUNG SECURITIES & INVESTMENT CO LTD
B01924,LT SECURITIES LTD
B01532,MAN LUNG HONG SECURITIES LTD
B00321,WINFIELD SECURITIES CO
B02152,PARCHMENT INVESTMENT LTD
B01555,ABN AMRO CLEARING HONG KONG LTD
B01440,HOU TAK SECURITIES LTD
B02019,GEO SECURITIES LTD
B02157,OIL ASSETS SECURITIES LTD
C00032,OVERSEAS UNION BANK LTD
B00413,ON HING SECURITIES CO
B01121,SG SECURITIES (HK) LTD
B01816,CHEONG LEE SECURITIES LTD
B00880,PING ON & CO
B01558,GOLD FUND SECURITIES CO LTD
B02212,HUAAN SECURITIES (HONG KONG) BROKERAGE
C00065,HSBC PRIVATE BANK (SUISSE) SA
C00105,AGRICULTURAL BANK OF CHINA LTD
B01530,FULLJET SECURITIES LTD
B00375,TAI FUNG & CO
B02114,THEIA SECURITIES LTD
B01791,MAINLAND SECURITIES LTD
B01204,TISCO SECURITIES HONG KONG LTD
B02074,FRUIT TREE SECURITIES LTD
B01213,MONEYMORE SECURITIES LTD
B01802,REDFORD SECURITIES LTD
B01286,K L SECURITIES CO
B02054,BLUEMOUNT SECURITIES LTD
B02013,ACU SECURITIES LTD
B00450,SOO PEI SHAO & CO
B00804,CHEONG LEE SECURITIES CO
B01521,CHAN NGOK MING SECURITIES LTD
B01135,UNITED WORLD SECURITIES (INTERNATIONAL)
B01782,SEAGA INTERNATIONAL LTD
B01392,TAIFAIR SECURITIES LTD
B02154,MAGNUM RESEARCH LTD
B02064,GALAXY TREASURE SECURITIES GROUP LTD
B01662,BOKHARY SECURITIES LTD
B02106,HOLLY INTERNATIONAL FINANCIAL HOLDINGS
B00293,AUDREY P. F. CHOW & CO
B01895,MARIGOLD INTERNATIONAL SECURITIES LTD
C00091,BANK OF SINGAPORE LTD
B01840,LIQUIDNET ASIA LTD
B01323,DEUTSCHE SECURITIES ASIA LTD
B01611,CAPITAL FRIEND SECURITIES LTD
B01382,CHINA-HK INTERNATIONAL SECURITIES LTD
B00499,HING WAI SECURITIES CO
B01904,VALUABLE CAPITAL LTD
B01024,HAMBURG SECURITIES CO
B01481,NEW REGION SECURITIES CO LTD
B00444,TAK HING & CO
B01829,HUATAI FINANCIAL HOLDINGS (HONG KONG)
B01520,NORTH SEA SECURITIES LTD
B01777,DAIWA CAPITAL MARKETS HONG KONG LTD
C00008,THE CHINA AND SOUTH SEA BANK LTD
B02146,GRAND RICH SECURITIES LTD
B01290,SPS SECURITIES LTD
B02026,PRIOR SECURITIES LTD
C00007,THE CHASE MANHATTAN BANK
B01918,REALORD ASIA PACIFIC SECURITIES LTD
B00585,J. A. FU & CO
B01657,JS CRESVALE SECURITIES INTERNATIONAL LTD
B01039,KWOK HING SECURITIES CO
B01329,BLOOMYEARS LTD
B00502,PROSPEROUS INVESTMENT CO
B01693,UOB KAY HIAN OVERSEAS LTD
NULL-0,HONG KONG SECURITIES CLEARING CO. LTD.
B01296,MONTGOMERY SECURITIES LTD
B01732,WINTECH SECURITIES LTD
C00052,BELGIAN BANK
B01845,MF GLOBAL HONG KONG LTD
B01764,DBS VICKERS SECURITIES ONLINE (HK) LTD
B01224,MERRILL LYNCH FAR EAST LTD
B01525,KEE CHEONG SECURITIES CO LTD
C00037,SHANGHAI COMMERCIAL BANK LTD
B00244,KUO PO INVESTMENT CO
B02076,SINOSTAR SECURITIES LTD
B02120,LIVERMORE HOLDINGS LTD
B00097,WINNING & CO
C00033,BANK OF CHINA (HONG KONG) LTD
B02193,PATRONS SECURITIES LTD
B01412,RANK GLORY INVESTMENT LTD
B01089,HSBC BROKING SECURITIES (HONG KONG) LTD
B01275,SANFULL SECURITIES LTD
B02069,YUBO SECURITIES LTD
B01643,LAI PO HUNG & CO LTD
B01631,PLANETREE SECURITIES LTD
B01945,INTEGRITY SECURITIES LTD
B02194,HARMONIA CAPITAL LTD
B02046,CHINA ZHONG HENG FINANCE GROUP LTD
B01658,DRAKE & MORGAN LTD
C00060,THE ROYAL BANK OF SCOTLAND N.V.
B00055,TAT LEE SECURITIES CO
B00418,MAN HON YEUNG & CO
B02032,FORTHRIGHT SECURITIES CO LTD
B01398,TAI SHING STOCK INVESTMENT CO
B01459,IFAST SECURITIES (HK) LTD
B01174,DBS VICKERS SECURITIES (HONG KONG)
B00976,STEPHIL SECURITIES CO
B01142,SHING ON SECURITIES LTD
B00620,TAI CHUEN SECURITIES CO
B00670,CHUNG TAK & CO
B01849,CIS SECURITIES ASSET MANAGEMENT LTD
B02006,SP SECURITIES LTD
B02053,ORIGINAL GROUP SECURITIES LTD
B01801,KIN FUNG STOCK CO LTD
B02174,YONGHE SECURITIES (HONG KONG) LTD
B01499,HLG SECURITIES (HK) LTD
B01338,EMPEROR SECURITIES LTD
B01635,TAI WAH SECURITIES LTD
B01477,FT SECURITIES LTD
B01670,FUZE SECURITIES (INTERNATIONAL) LTD
B02110,RED EAGLE SECURITIES LTD
B01335,PLASIA SECURITIES CO
B01184,QUAM SECURITIES LTD
P00019,XPRESS CREDIT LTD
B01598,AMMB SECURITIES (H.K.) LTD
C00030,THE NIKKO SECURITIES CO (ASIA) LTD
B01150,MTF SECURITIES LTD
B01539,FORDJOY SECURITIES LTD
B01669,FIRST SECURITIES (HK) LTD
B01207,SHAREGAIN DEVELOPMENT LTD
B00636,Y. K. LI CO
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
B01616,PACIFIC PEARL SECURITIES LTD
B01632,WAI FAT SECURITIES LTD
B01685,ARK SECURITIES (HONG KONG) LTD
B01489,GRAND CARTEL SECURITIES CO LTD
B01519,GOOD HARVEST SECURITIES CO LTD
B01767,NEW GALA SECURITIES CO LTD
B01492,KAM WAH SECURITIES LTD
B01586,WHOLE WIN SECURITIES LTD
B01871,NEWEDGE FINANCIAL HONG KONG LTD
B02059,MIDAS SECURITIES LTD
B01567,PRIME SECURITIES LTD
C00092,CTBC BANK CO LTD
B01279,THE BEST SECURITIES CO
B01488,KOWLOON DEVELOPMENT K. F. LO SECURITIES
B01579,ELSTONE SECURITIES LTD
B01976,FRONTIER CAPITAL MANAGEMENT LTD
B02050,"QUASAR SECURITIES CO., LTD"
B00609,SIU WING STOCKS & SHARES CO
B01765,PROMISING SECURITIES CO LTD
B01893,WINCO SECURITIES CO LTD
B01360,SEAMICO MARLIN SECURITIES (H.K.) LTD
B02124,EXCEL PRECISE SECURITIES LTD
B01688,CHUN HUNG SECURITIES LTD
B00803,KAM KWONG CO
B01045,SAI SHING SECURITIES CO
B00702,JENNY & EDWARD CHEUNG SECURITIES CO
B01197,H. K. HUNG & CO
B01179,GRANSING SECURITIES & INVESTMENT CO
B01475,WING SANG SECURITIES CO LTD
C00025,KWANGTUNG PROVINCIAL BANK
C00016,DBS BANK LTD
B01698,LUEN SING SECURITIES LTD
B01908,ASA SECURITIES LTD
B01040,GREAT HONOUR SECURITIES CO
B02072,SBI E2-CAPITAL SECURITIES LTD
B01493,YARDLEY SECURITIES LTD
B01993,CROSBY SECURITIES LTD
B02130,GRANVILLE FINANCIAL SERVICES CO LTD
B01125,I & P SECURITIES LTD
B01921,GONG PING SECURITIES LTD
B02042,MONMONKEY GROUP SECURITIES LTD
B01835,STANDARD SECURITIES ASIA LTD
B01430,CITIGROUP GLOBAL MARKETS ASIA LTD
B01547,KWOK HING SECURITIES LTD
B02214,WINBULL SECURITIES INTERNATIONAL (HONG
B01130,BOCI SECURITIES LTD
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL
B01870,TOTAL SECURITIES (HK) LTD
B02204,VI ASSET MANAGEMENT COMPANY LTD
B01080,VMS SECURITIES LTD
C00006,THE BANK OF BERMUDA LTD
B01947,FUBON SECURITIES (HONG KONG) LTD
B01166,KING FOOK SECURITIES CO LTD
B01596,LG SECURITIES (H.K.) LTD
B00183,LEE YUE LIM SECURITIES CO
B01374,PO LEE SECURITIES LTD
B01690,FIRST SIGN SECURITIES LTD
B01738,CES CAPITAL INTERNATIONAL (HONG KONG) CO
B01730,CCB SECURITIES LTD
B01118,EAST ASIA SECURITIES CO LTD
B01157,PASAY STOCK AND SHARES LTD
B01272,FB SECURITIES (HONG KONG) LTD
B01600,THOMAS GLOBAL FINANCIAL SERVICES LTD
B01437,SINO CAPITAL SECURITIES LTD
B02178,LEE GO SECURITIES LTD
B02101,ACER KING SECURITIES INTERNATIONAL LTD
B02107,MARKETSENSE SECURITIES LTD
B01797,SZEHOPE SECURITIES CO LTD
C99996,HONG KONG SECURITIES CLEARING COMPANY
B02044,FERRAN SECURITIES LTD
B01458,YICKO SECURITIES LTD
P00018,SOLID CAPITAL HOLDINGS LTD
B01848,CATHAY SECURITIES (HONG KONG) LTD
B01298,GET NICE SECURITIES LTD
B00799,WILLIAM KOO & CO
B01460,BERICH BROKERAGE LTD
B01836,TIBRA TRADING HONG KONG LTD
B01856,FINET SECURITIES LTD
B02196,MIGHTY DIVINE SECURITIES LTD
B01141,FE SECURITIES LTD
B02137,"GREENCOURT FINANCIAL CO., LTD"
B01501,GOLDRIDE SECURITIES LTD
B01529,HK KOWLOON FIRST SECURITIES CO LTD
B01401,MEGABASE SECURITIES LTD
B02171,DL SECURITIES (HK) LTD
B01812,MF GLOBAL SECURITIES HK LTD
B01158,SOLID KING SECURITIES LTD
B01365,THE NIKKO SECURITIES CO (HONG KONG) LTD
B01347,CGS INTERNATIONAL SECURITIES HK LTD
B02198,CITRUS SECURITIES LTD
B01156,CMB INTERNATIONAL GLOBAL MARKETS LTD
B01978,FOUNDER SECURITIES (HONG KONG) LTD
B01665,WINSOME STOCK CO LTD
B01951,GENTING SECURITIES LTD
B00360,KWONG FOOK HONG
B01772,TENSANT SECURITIES LTD
B02195,LONG BRIDGE HK LTD
B80008,SHUN LOONG SECURITIES CO
B01428,HIP HING SECURITIES LTD
B01226,CHARK FUNG SECURITIES CO
B01473,SUNNY WORLD INVESTMENT LTD
B01972,RICHES DEPOT SECURITIES CO LTD
B00465,BONANZA SECURITIES CO
C00071,ING BANK N.V.
B00218,R. YU & CO
B00776,YICK FUNG SECURITIES & INVESTMENT CO
B02181,GRAND CAPITAL SECURITIES LTD
B01970,YUE KUN RESEARCH LTD
B01852,ARTA GLOBAL MARKETS LTD
B01131,COMMERCIAL INVESTMENT CO LTD
B02164,TUNG YAT SECURITIES LTD
B02068,CANFIELD SECURITIES CO LTD
B01399,JIN LOONG SECURITIES CO LTD
B01785,PARTNERS CAPITAL SECURITIES LTD
B00340,WINSOME STOCK CO
B01642,KMT SECURITIES LTD
B01231,WINNER INTERNATIONAL SECURITIES LTD
B01524,GOLDEN HILL INVESTMENT CO LTD
B01752,HOI SANG SECURITIES LTD
B01301,PARIBAS ASIA EQUITY LTD
B01420,A ONE INVESTMENT CO LTD
B01221,LEE SHUN SECURITIES CO
B01977,ZHONGCAI SECURITIES LTD
B01124,CHEKIANG FIRST SECURITIES CO LTD
B01433,HING WAI ALLIED SECURITIES LTD
B01359,PAK LEE STOCK CO
B00029,HONG KONG SECURITIES CO
B00494,WILBY INVESTMENT CO
B01011,TRADEMORE SECURITIES & INVESTMENT CO
B01247,KWAI HUNG SECURITIES CO LTD
B01905,SDICS INTERNATIONAL SECURITIES (HONG
B00746,SHUK KWUN & CO
B02158,DT SECURITIES & FUTURES CO. LTD
B00716,FOOK TAI & CO
B01445,VICTORY SECURITIES CO LTD
B01627,SDHG INTERNATIONAL SECURITIES LTD
B02040,TRADEMASTER SECURITIES (HONG KONG) LTD
B01227,HOORAY SECURITIES LTD
B01837,ETRADE SECURITIES (HONG KONG) LTD
B02177,ZHESHANG INTERNATIONAL FINANCIAL
B02008,OOO SECURITIES (HK) GROUP LTD
B01787,SOO PUI CHEN SECURITIES LTD
B01587,T.Z. & W.Y. CHEUNG STOCKS LTD
B00742,LEES SECURITIES CO
B02030,SR WEALTH SECURITIES LTD
B02070,UZEN SECURITIES LTD
B01917,CHINA TIMES SECURITIES LTD
B02017,WILSON SECURITIES LTD
B01149,ABN AMRO ASIA SECURITIES (HONG KONG) LTD
B00489,ANDERSON WEN & CO
B01077,MACQUARIE CAPITAL SECURITIES LTD
B01717,GOLDIN EQUITIES LTD
B00649,BENTLEY SECURITIES CO
B01144,TAK FUNG SHARES INVESTMENT CO LTD
B01584,CHIEF SECURITIES LTD
B00452,HO CHONG & CO
B01251,CHUANGS & CO
B01987,NINE RIVERS CAPITAL PARTNERS LTD
B01092,STAR SECURITIES CO
B01253,STOCKWELL SECURITIES LTD
B01411,WING YEE CO
